Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-11-21 03:10:47,,UTC-05:00,57,56,63,34.07,95.00,,,,,2024-11-21 03:10:47,2024-11-21 09:07:55,57,17.7,329,357,134,70,125,28,580,100,92,69
2024-11-20 00:40:13,2024-11-21 03:10:47,UTC-05:00,72,55,65,34.17,96.12,6.7,2127,152,70,2024-11-20 00:40:13,2024-11-20 09:08:45,74,17.5,452,508,220,94,138,56,608,127,89,59
2024-11-19 01:23:10,2024-11-20 00:40:13,UTC-05:00,31,63,45,33.88,96.33,6.8,1891,153,74,2024-11-19 01:23:10,2024-11-19 08:46:20,67,17.9,414,441,215,85,114,27,619,127,93,53
2024-11-18 04:02:24,2024-11-19 01:23:10,UTC-05:00,23,55,62,33.80,94.80,11.3,2044,188,80,2024-11-18 04:02:24,2024-11-18 07:42:04,36,17.8,205,219,100,34,71,14,576,97,93,62
2024-11-17 03:25:54,2024-11-18 04:02:24,UTC-05:00,60,58,63,33.90,96.00,5.8,1939,156,71,2024-11-17 03:25:54,2024-11-17 12:20:53,75,17.6,458,534,181,113,164,76,609,127,86,64
2024-11-16 03:29:09,2024-11-17 03:25:54,UTC-05:00,44,59,59,34.30,93.19,7.4,1983,159,73,2024-11-16 03:29:09,2024-11-16 08:59:51,53,18.1,312,330,149,42,121,18,587,108,94,84
2024-11-15 03:00:56,2024-11-16 03:29:09,UTC-05:00,76,55,69,33.44,97.00,5.0,1901,142,69,2024-11-15 03:00:56,2024-11-15 09:59:07,64,17.6,386,415,154,83,149,29,603,123,92,76
2024-11-14 04:00:27,2024-11-15 03:00:56,UTC-05:00,64,56,66,33.60,96.38,5.8,1823,150,72,2024-11-14 04:00:27,2024-11-14 09:17:41,55,17.5,302,316,196,34,72,14,550,70,95,61
2024-11-13 02:20:07,2024-11-14 04:00:27,UTC-05:00,84,56,70,33.49,97.18,6.4,2057,134,70,2024-11-13 02:20:07,2024-11-13 09:59:38,80,17.7,424,459,185,90,149,35,533,51,92,61
2024-11-12 01:57:16,2024-11-13 02:20:07,UTC-05:00,79,59,66,33.90,91.75,7.5,2023,151,73,2024-11-12 01:57:16,2024-11-12 09:06:02,83,18.1,391,425,134,89,168,34,471,127,92,53
